date,datatype,station,attributes,value
"2017-11-25T00:00:00","TAVG","GHCND:ASN00066037","HS","234"
"2017-11-26T00:00:00","TAVG","GHCND:ASN00066037","HS","241"
"2017-11-27T00:00:00","TAVG","GHCND:ASN00066037","HS","223"
"2017-11-28T00:00:00","TAVG","GHCND:ASN00066037","HS","226"
"2017-11-29T00:00:00","TAVG","GHCND:ASN00066037","HS","232"
"2017-11-30T00:00:00","TAVG","GHCND:ASN00066037","HS","246"
"2017-12-01T00:00:00","TAVG","GHCND:ASN00066037","HS","242"
"2017-12-02T00:00:00","TAVG","GHCND:ASN00066037","HS","207"
"2017-12-03T00:00:00","TAVG","GHCND:ASN00066037","HS","215"
"2017-12-04T00:00:00","TAVG","GHCND:ASN00066037","HS","173"
"2017-12-05T00:00:00","TAVG","GHCND:ASN00066037","HS","194"
"2017-12-06T00:00:00","TAVG","GHCND:ASN00066037","HS","219"
"2017-12-07T00:00:00","TAVG","GHCND:ASN00066037","HS","261"
"2017-12-08T00:00:00","TAVG","GHCND:ASN00066037","HS","214"
"2017-12-09T00:00:00","TAVG","GHCND:ASN00066037","HS","209"
"2017-12-10T00:00:00","TAVG","GHCND:ASN00066037","HS","227"
"2017-12-11T00:00:00","TAVG","GHCND:ASN00066037","HS","239"
"2017-12-12T00:00:00","TAVG","GHCND:ASN00066037","HS","242"
"2017-12-13T00:00:00","TAVG","GHCND:ASN00066037","HS","253"
"2017-12-14T00:00:00","TAVG","GHCND:ASN00066037","HS","271"
"2017-12-15T00:00:00","TAVG","GHCND:ASN00066037","HS","231"
"2017-12-16T00:00:00","TAVG","GHCND:ASN00066037","HS","250"
"2017-12-17T00:00:00","TAVG","GHCND:ASN00066037","HS","229"
"2017-12-18T00:00:00","TAVG","GHCND:ASN00066037","HS","249"
"2017-12-19T00:00:00","TAVG","GHCND:ASN00066037","HS","291"
"2017-12-20T00:00:00","TAVG","GHCND:ASN00066037","HS","246"
"2017-12-21T00:00:00","TAVG","GHCND:ASN00066037","HS","223"
"2017-12-22T00:00:00","TAVG","GHCND:ASN00066037","HS","237"
"2017-12-23T00:00:00","TAVG","GHCND:ASN00066037","HS","259"
"2017-12-24T00:00:00","TAVG","GHCND:ASN00066037","HS","247"
"2017-12-25T00:00:00","TAVG","GHCND:ASN00066037","HS","207"
"2017-12-26T00:00:00","TAVG","GHCND:ASN00066037","HS","217"
"2017-12-27T00:00:00","TAVG","GHCND:ASN00066037","HS","239"
"2017-12-28T00:00:00","TAVG","GHCND:ASN00066037","HS","249"
"2017-12-29T00:00:00","TAVG","GHCND:ASN00066037","HS","263"
"2017-12-30T00:00:00","TAVG","GHCND:ASN00066037","HS","256"
"2017-12-31T00:00:00","TAVG","GHCND:ASN00066037","HS","238"
